"Marca temporal","Edad","Genero con el que te identificas","Carrera","Año","Creo que usaría Spotify frecuentemente.","Encuentro la interfaz de Spotify innecesariamente compleja.","Creo que la interfaz de Spotify fue fácil de usar.","Creo que necesitaría ayuda de una persona con conocimientos técnicos para usar la interfaz de Spotify.","Las funciones de la interfaz de Spotify están bien integradas (por ejemplo, buscar canciones, crear playlists, explorar recomendaciones, ajustar configuraciones de audio).","Creo que la interfaz de Spotify es muy inconsistente.","Imagino que la mayoría de la gente aprendería a usar la interfaz Spotify de forma muy rápida.","Encuentro que la interfaz de Spotify es muy difícil de usar.","Me siento confiado al usar Spotify.","Necesité aprender muchas cosas antes de ser capaz de usar la interfaz de Spotify.","¿Tienes algún comentario adicional sobre tu experiencia con la usabilidad de la interfaz de Spotify?   "
"2024/09/04 10:49:32 a. m. GMT-4","27","0","0","Tercero","1","1","3","1","3","1","5","1","3","1",""
"2024/09/05 8:50:42 a. m. GMT-4","20","0","0","Tercero","5","4","4","1","3","4","4","2","4","1","El ""agregar canciones"" a tu biblioteca es engorroso y no deja en claro qué canciones están en mis ""me gusta"" o en una playlist"
"2024/09/05 9:10:48 a. m. GMT-4","20","1","0","Tercero","5","3","5","1","4","2","3","2","5","2",""
"2024/09/05 9:12:51 a. m. GMT-4","23","0","0","Primero","5","2","5","1","5","1","5","1","5","1",""
"2024/09/05 9:12:53 a. m. GMT-4","19","1","4","Primero","5","1","5","1","5","1","5","1","5","1",""
"2024/09/05 9:36:55 a. m. GMT-4","21","1","1","Cuarto","2","1","4","2","4","1","5","1","5","1",""
"2024/09/05 9:36:56 a. m. GMT-4","22","1","6","Cuarto","5","2","5","1","5","1","5","1","5","1",""
"2024/09/05 10:25:39 a. m. GMT-4","22","1","2","Tercero","5","1","5","1","5","1","5","1","5","1","Muy fácil de usar "
"2024/09/05 10:25:42 a. m. GMT-4","20","1","2 ","Tercero","5","1","5","1","5","1","5","1","5","1","Me encanta"
"2024/09/05 10:28:48 a. m. GMT-4","19","0","3","Primero","5","1","5","1","5","2","3","2","4","1",""
"2024/09/05 10:28:50 a. m. GMT-4","19","1","3 ","Primero","4","1","5","2","4","2","3","2","5","1","no "
"2024/09/05 10:29:04 a. m. GMT-4","23","0","7","Tercero","5","1","5","1","5","2","5","1","5","2",""
"2024/09/05 10:29:23 a. m. GMT-4","19","1","6","Primero","5","2","5","1","5","4","2","4","5","1",""
"2024/09/05 10:30:14 a. m. GMT-4","19","1","6 ","Segundo","5","4","3","4","3","2","3","2","4","3",""
"2024/09/05 10:38:59 a. m. GMT-4","29","0","1","Quinto","5","2","5","1","5","1","4","1","5","1","Es una interfaz muy intuitiva y estética, llama la atención al usuario por la vista. Tiene un valor agregado por la gran variedad de opciones que entrega, además predecir de forma muy certera los gustos del usuario y las recomendaciones de canciones que entrega "
"2024/09/05 10:43:01 a. m. GMT-4","19","0","5","Segundo","1","1","4","4","4","1","5","1","5","1",""
"2024/09/05 10:43:32 a. m. GMT-4","21","0","0","Tercero","5","2","4","1","4","1","5","1","5","1",""
"2024/09/05 10:46:21 a. m. GMT-4","19","0","0 ","Segundo","5","1","5","1","4","1","4","1","5","1",""
"2024/09/05 10:48:31 a. m. GMT-4","22","0","4","Cuarto","5","1","5","1","5","1","5","1","5","1",""
"2024/09/05 10:48:32 a. m. GMT-4","20","0","0 ","Tercero","5","1","5","1","5","2","5","5","5","1",""
"2024/09/05 10:49:24 a. m. GMT-4","20","0","0","Tercero","4","4","3","3","3","4","3","3","3","2",""
"2024/09/05 10:49:44 a. m. GMT-4","21","0","0","Tercero","4","2","4","1","3","2","3","1","5","1","Uso spotify apk premium free 2024"
"2024/09/05 10:50:20 a. m. GMT-4","20","0","0","Tercero","2","4","3","2","3","3","3","3","2","5",""
"2024/09/05 10:50:28 a. m. GMT-4","21","0","0","Cuarto","5","2","4","2","3","3","2","2","4","3",""
"2024/09/05 10:51:03 a. m. GMT-4","20","0","0","Tercero","4","2","5","2","3","4","3","2","4","2","Esta bien pero podrian hacerlo un poco mas sencillo"
"2024/09/05 10:51:08 a. m. GMT-4"," 21","0","0","Tercero","5","1","5","1","2","1","5","5","5","1","Noup :)"
"2024/09/05 10:52:51 a. m. GMT-4","20","0","0 ","Tercero","5","1","5","1","4","3","4","5","5","1",""
"2024/09/05 10:54:58 a. m. GMT-4","21","0","0","Tercero","5","2","4","1","4","3","4","2","3","1","Es una experecia sencilla de comprender pero puede resultar tedioso a la hora de no tener la version premium"
"2024/09/05 10:57:49 a. m. GMT-4","21","1","0","Segundo","5","3","3","2","3","3","3","3","5","2","El tema de agregar o quitar canciones de la playlist es incómodo, y sería bueno que uno pudiese usar voz para decir cosas, como ""pon x en la cola"". Lo otro es que las configuraciones de sonido son para la gente que cacha de eso xd. Las recomendaciones semanales son re malas en general."
"2024/09/05 10:59:35 a. m. GMT-4","23","0","4 ","Tercero","4","1","4","1","3","1","4","1","5","1",""
"2024/09/05 10:59:54 a. m. GMT-4","20","0","4 ","Tercero","1","1","5","1","5","1","5","1","5","1",""
"2024/09/05 11:00:35 a. m. GMT-4","20","0","4","Tercero","3","1","5","1","5","1","4","1","4","1",""
"2024/09/05 11:00:48 a. m. GMT-4","21","0","4 ","Tercero","5","2","2","1","5","1","5","1","5","1","Spotify > youtube music"
"2024/09/05 11:12:51 a. m. GMT-4","20","1","0","Tercero","4","1","5","2","4","1","4","1","5","1",""
"2024/09/05 11:22:53 a. m. GMT-4","19","0","0 ","Tercero","5","3","4","1","4","2","4","1","5","1","no"
"2024/09/05 12:32:11 p. m. GMT-4","21","1","0 ","Tercero","5","1","5","1","5","1","4","1","5","1",""
"2024/09/05 12:50:54 p. m. GMT-4","19","0","0","Segundo","5","3","3","1","3","2","3","2","4","2","Que la interfaz podamos hacerla personalizada "
"2024/09/05 1:27:56 p. m. GMT-4","22","0","0","Cuarto","5","3","3","1","2","5","3","4","5","1","Es mejor apple music "